BARCODE,PRODUCT CODE,MODEL NAME,PRODUCT NAME,BRAND NAME,MRP,NET QTY,CATEGORY,DISCOUNT,DIWALI SCHEME A,DIWALI SCHEME B,DIWALI SCHEME C,RETAIL,,Brand Name,LARAH,
8901309000222,CFTSPPOUT18,TRY-PLY SAUCE PAN WITH SPOUT  2.1L/18 CM ,SAUCE PAN WITH SPOUT W/OUT LID 18CM,BOROSIL,2495,6,TRIPLY,50,0,0,0,40,,HT2SNP1MRBFR,"7"" Snack Plate - 2 Pc ASSORTED",16
8901309005852,VJCFLATW28,FLAT TAWA 28CM,VAJRA CERAMIC FLAT TAWA 28 CM,BOROSIL,2195,31,VAJRA CERAMIC,40,4,3,2,30,,HT2SNS1BBLMO,Serve N Store - 2 Pc (MOON) ASSORTED,35
8901309227926,CFTKD30SS46,TRY-PLY KADHAI WITH LID 5.2L/30CM,TRI-PLY KADHAI 5.5L/30 CM,BOROSIL,4395,8,TRIPLY,50,0,0,0,40,,HT2STB1CTI4PL,STORAGE BOWL 400- 2 PC (PLANO) ASSORTED,211
8901309230346,NSVJTFRPN20,VAJRA DIE-CAST NON STICK FRY PAN 1L/20CM,VAJRA NONSTICK FRY PAN 1.0/20CM,BOROSIL,1390,16,VAJRA,40,4,3,2,30,,HT2STB1JUP20PL,STORAGE BOWL - 2 PC (PLANO) ASSORTED,12
8901309227971,CFTFP20SS51,TRI PLY FRY PAN - 1.3L /20CM,TRI-PLY FRYPAN 1.3L/20 CM (W/O LID),BOROSIL,2095,24,TRIPLY,50,0,0,0,40,,HT2STB1JUP8PL,STORAGE BOWL 800 - 2 PC (PLANO) ASSORTED,15
8901309227988,CFTFP22SS52,TRY PLY FRY PAN - 1.75L/22CM ,TRI-PLY FRYPAN 1.75L/22 CM (W/O LID),BOROSIL,2490,0,TRIPLY,50,0,0,0,40,,HT3LB400ZIS,400ML LUNCH BOX - 3N ASSORTED,69
8901309228244,NSCT28GR06,NON STICK CONCAVE TAWA 270MM,GRANITO NONSTICK CONCAVE TAVA 27 CM,BOROSIL,1195,13,GRANITO,40,4,3,2,30,,HT3STB1LUP24PL,STORAGE BOWL - 3 PC (PLANO) ASSORTED,44
8901309228503,NSFP20GR16,NON STICK FRY PAN 200MM ,GRANITO NONSTICK FRY PAN 20CM,BOROSIL,695,1,GRANITO,40,4,3,2,30,,HT44DN1HUBFL,Dinner Set - 44 Pcs (FLUTED) ASSORTED,61
8901309000260,CFTWOK20,TRI PLY WOK-1.75L/20CM ,TRI-PLY WOK-1.75L/20CM,BOROSIL,2850,9,TRIPLY,50,0,0,0,40,,HT4CAS14AMEKO,Casserole Set - 4 Pc (KOHINOOR),18
8901309005937,VJCCASRL22,CASSEROLE WITH LID 3.2L/22CM,VAJRA CERAMIC CASSEROLE 22 CM,BOROSIL,2790,6,VAJRA CERAMIC,40,4,3,2,30,,HT4CAS14ELEFL,Casserole Set - 4 Pc (FLUTED),10
